,fraud_count,legit_count,fraud_ratio,total_count
voip,14,35,0.3888888888888889,49
janitorial,12,30,0.3870967741935484,42
approvals,15,38,0.38461538461538464,53
port,5,12,0.38461538461538464,17
agreement,21,54,0.38181818181818183,75
multitask,8,20,0.38095238095238093,28
routines,8,20,0.38095238095238093,28
aerospace,14,36,0.3783783783783784,50
recovery,62,164,0.37575757575757573,226
diesel,3,7,0.375,10
sls,3,7,0.375,10
broadband,6,15,0.375,21
subcontracts,3,7,0.375,10
amendments,3,7,0.375,10
med,6,15,0.375,21
interdepartmental,3,7,0.375,10
procuring,3,7,0.375,10
unmatched,3,7,0.375,10
insurances,6,15,0.375,21
plastics,3,7,0.375,10
trauma,3,7,0.375,10
sed,3,7,0.375,10
lounge,3,7,0.375,10
aided,3,7,0.375,10
bend,3,7,0.375,10
personalised,10,26,0.37037037037037035,36
discounts,10,26,0.37037037037037035,36
intervention,11,29,0.36666666666666664,40
hardworking,27,73,0.36486486486486486,100
discriminate,4,10,0.36363636363636365,14
responsibilitiesperform,4,10,0.36363636363636365,14
inclusion,8,21,0.36363636363636365,29
corrected,4,10,0.36363636363636365,14
oilfield,4,10,0.36363636363636365,14
conformances,4,10,0.36363636363636365,14
batteries,4,10,0.36363636363636365,14
ratio,4,10,0.36363636363636365,14
orthopedics,4,10,0.36363636363636365,14
attends,12,32,0.36363636363636365,44
uploading,21,57,0.3620689655172414,78
necessarily,9,24,0.36,33
procure,5,13,0.35714285714285715,18
operative,5,13,0.35714285714285715,18
empowers,10,27,0.35714285714285715,37
wrap,5,13,0.35714285714285715,18
summarythe,5,13,0.35714285714285715,18
discipline,50,139,0.35714285714285715,189
ambulatory,6,16,0.35294117647058826,22
ansi,7,19,0.35,26
nevada,7,19,0.35,26
escalations,7,19,0.35,26
sow,8,22,0.34782608695652173,30
chip,10,28,0.3448275862068966,38
taxes,10,28,0.3448275862068966,38
cooks,16,46,0.3404255319148936,62
aviation,17,49,0.34,66
retirement,19,55,0.3392857142857143,74
drilling,21,61,0.3387096774193548,82
incentives,21,61,0.3387096774193548,82
inquire,5,14,0.3333333333333333,19
diagram,7,20,0.3333333333333333,27
aliquam,3,8,0.3333333333333333,11
switchboard,4,11,0.3333333333333333,15
exhibiting,3,8,0.3333333333333333,11
comprehend,8,23,0.3333333333333333,31
infection,4,11,0.3333333333333333,15
cancellations,5,14,0.3333333333333333,19
supervises,18,53,0.3333333333333333,71
expressed,4,11,0.3333333333333333,15
tuition,3,8,0.3333333333333333,11
surgeon,4,11,0.3333333333333333,15
loaded,3,8,0.3333333333333333,11
says,6,17,0.3333333333333333,23
paired,3,8,0.3333333333333333,11
bartender,3,8,0.3333333333333333,11
gatekeeper,4,11,0.3333333333333333,15
moved,5,14,0.3333333333333333,19
controlled,6,17,0.3333333333333333,23
wpm,3,8,0.3333333333333333,11
returning,6,17,0.3333333333333333,23
cable,18,53,0.3333333333333333,71
whose,17,50,0.3333333333333333,67
entry,279,848,0.3286219081272085,1127
technically,20,60,0.32786885245901637,80
comfort,28,85,0.32558139534883723,113
learners,12,36,0.32432432432432434,48
shops,23,70,0.323943661971831,93
sustainability,11,33,0.3235294117647059,44
journeyman,7,21,0.3181818181818182,28
inquires,7,21,0.3181818181818182,28
disk,7,21,0.3181818181818182,28
fareast,7,21,0.3181818181818182,28
depend,6,18,0.3157894736842105,24
baby,6,18,0.3157894736842105,24
interacts,11,34,0.3142857142857143,45
payroll,109,347,0.3132183908045977,456
cafe,5,15,0.3125,20
spa,5,15,0.3125,20
notification,5,15,0.3125,20
accredited,9,28,0.3103448275862069,37
minutes,36,115,0.3103448275862069,151
verifies,9,28,0.3103448275862069,37
six,47,151,0.3092105263157895,198
optimum,8,25,0.3076923076923077,33
introduced,4,12,0.3076923076923077,16
sandy,4,12,0.3076923076923077,16
csr,11,35,0.3055555555555556,46
crews,7,22,0.30434782608695654,29
ordinate,10,32,0.30303030303030304,42
anytime,13,42,0.3023255813953488,55
shapes,3,9,0.3,12
lenses,3,9,0.3,12
duplication,3,9,0.3,12
subcontract,3,9,0.3,12
spine,3,9,0.3,12
exercises,9,29,0.3,38
disposal,6,19,0.3,25
contingent,3,9,0.3,12
persons,11,36,0.2972972972972973,47
lessons,11,36,0.2972972972972973,47
chef,32,107,0.2962962962962963,139
link,65,219,0.29545454545454547,284
sub,20,67,0.29411764705882354,87
sops,5,16,0.29411764705882354,21
vacations,10,33,0.29411764705882354,43
agricultural,5,16,0.29411764705882354,21
outs,12,40,0.2926829268292683,52
assure,47,162,0.2883435582822086,209
casino,6,20,0.2857142857142857,26
graphite,4,13,0.2857142857142857,17
equally,22,76,0.2857142857142857,98
steel,6,20,0.2857142857142857,26
jointly,4,13,0.2857142857142857,17
outlet,4,13,0.2857142857142857,17
norm,4,13,0.2857142857142857,17
eoe,4,13,0.2857142857142857,17
rankings,4,13,0.2857142857142857,17
culinary,6,20,0.2857142857142857,26
extra,46,161,0.2839506172839506,207
plant,88,309,0.2838709677419355,397
inter,9,31,0.28125,40
adheres,9,31,0.28125,40
forklift,9,31,0.28125,40
determined,24,85,0.27906976744186046,109
tanks,5,17,0.2777777777777778,22
servo,5,17,0.2777777777777778,22
devoted,5,17,0.2777777777777778,22
certification,51,183,0.27717391304347827,234
plc,18,64,0.27692307692307694,82
restaurants,32,115,0.27586206896551724,147
maximize,76,276,0.2743682310469314,352
info,24,87,0.2727272727272727,111
households,3,10,0.2727272727272727,13
scheduler,3,10,0.2727272727272727,13
iso,15,54,0.2727272727272727,69
inherent,3,10,0.2727272727272727,13
traceability,3,10,0.2727272727272727,13
zero,22,80,0.2716049382716049,102
statutory,7,25,0.2692307692307692,32
simulations,4,14,0.26666666666666666,18
safer,4,14,0.26666666666666666,18
keeper,4,14,0.26666666666666666,18
adjustment,4,14,0.26666666666666666,18
aberdeen,4,14,0.26666666666666666,18
justify,4,14,0.26666666666666666,18
bristol,4,14,0.26666666666666666,18
workers,60,224,0.26666666666666666,284
accommodation,25,93,0.26595744680851063,118
smartphone,19,71,0.2638888888888889,90
laser,5,18,0.2631578947368421,23
prevent,16,60,0.26229508196721313,76
houston,43,163,0.2621951219512195,206
trash,11,41,0.2619047619047619,52
archive,6,22,0.2608695652173913,28
memos,6,22,0.2608695652173913,28
depends,6,22,0.2608695652173913,28
cash,96,370,0.2587601078167116,466
entered,8,30,0.25806451612903225,38
facilitating,25,96,0.25773195876288657,121
receptionist,42,162,0.25766871165644173,204
food,188,732,0.25648021828103684,920
financially,10,38,0.2564102564102564,48
alignment,21,81,0.25609756097560976,102
supplier,45,175,0.2556818181818182,220
acute,12,46,0.2553191489361702,58
administrative,203,798,0.25406758448060074,1001
cell,16,62,0.25396825396825395,78
inspections,19,74,0.25333333333333335,93
duration,23,90,0.25274725274725274,113
procedural,5,19,0.25,24
undergoing,4,15,0.25,19
tasking,11,43,0.25,54
dignity,3,11,0.25,14
allocate,5,19,0.25,24
crystal,6,23,0.25,29
diversity,12,47,0.25,59
encompasses,6,23,0.25,29
register,10,39,0.25,49
remediation,16,63,0.25,79
routers,8,31,0.25,39
corrective,26,103,0.25,129
pub,3,11,0.25,14
tolerant,3,11,0.25,14
temperature,4,15,0.25,19
prn,3,11,0.25,14
preventative,10,39,0.25,49
finalize,3,11,0.25,14
treating,7,27,0.25,34
temporary,52,210,0.24644549763033174,262
specialty,27,109,0.24545454545454545,136
lasting,26,105,0.24528301886792453,131
catering,12,48,0.24489795918367346,60
legislative,10,40,0.24390243902439024,50
morning,19,77,0.24358974358974358,96
attendant,8,32,0.24242424242424243,40
exceeds,8,32,0.24242424242424243,40
inspection,23,94,0.24210526315789474,117
hrs,14,57,0.2413793103448276,71
interdisciplinary,6,24,0.24,30
type,99,412,0.2397094430992736,511
lab,29,120,0.2396694214876033,149
posting,26,108,0.23853211009174313,134
numerical,5,20,0.23809523809523808,25
piping,14,58,0.23728813559322035,72
classification,9,37,0.23684210526315788,46
clearing,4,16,0.23529411764705882,20
vpn,8,33,0.23529411764705882,41
inputs,8,33,0.23529411764705882,41
rural,4,16,0.23529411764705882,20
supervising,11,46,0.23404255319148937,57
requisitions,7,29,0.23333333333333334,36
lubrication,3,12,0.23076923076923078,15
patience,6,25,0.23076923076923078,31
